im_file,offset
../scratch/check_first_frames/ch05_20181207101912.jpg,0
../scratch/check_first_frames/ch05_20181207114402.jpg,0
../scratch/check_first_frames/ch05_20181207121220.jpg,1
../scratch/check_first_frames/ch05_20181207124037.jpg,0
../scratch/check_first_frames/ch05_20181207140528.jpg,1
../scratch/check_first_frames/ch05_20181207143343.jpg,1
../scratch/check_first_frames/ch05_20181207150200.jpg,1
../scratch/check_first_frames/ch05_20181207153017.jpg,-1
../scratch/check_first_frames/ch05_20181207155833.jpg,0
../scratch/check_first_frames/ch05_20190103152741.jpg,1
../scratch/check_first_frames/ch05_20190103155558.jpg,0
../scratch/check_first_frames/ch05_20190103162416.jpg,1
../scratch/check_first_frames/ch05_20190103165231.jpg,1
../scratch/check_first_frames/ch05_20190104073719.jpg,0
../scratch/check_first_frames/ch05_20190104093027.jpg,1
../scratch/check_first_frames/ch05_20190104095841.jpg,1
../scratch/check_first_frames/ch05_20190104102659.jpg,1
../scratch/check_first_frames/ch05_20190105084225.jpg,1
../scratch/check_first_frames/ch05_20190105110351.jpg,1
../scratch/check_first_frames/ch05_20190105113205.jpg,0
../scratch/check_first_frames/ch05_20190105120023.jpg,0
../scratch/check_first_frames/ch05_20190105142146.jpg,1
../scratch/check_first_frames/ch05_20190105145003.jpg,0
../scratch/check_first_frames/ch05_20190105151821.jpg,1
../scratch/check_first_frames/ch05_20190328123747.jpg,0
../scratch/check_first_frames/ch05_20190328130605.jpg,1
../scratch/check_first_frames/ch05_20190328133422.jpg,0
../scratch/check_first_frames/ch05_20190328145913.jpg,1
../scratch/check_first_frames/ch05_20190328152730.jpg,1
../scratch/check_first_frames/ch05_20190328155547.jpg,0
../scratch/check_first_frames/ch05_20190328162405.jpg,1
../scratch/check_first_frames/ch05_20190329072446.jpg,1
../scratch/check_first_frames/ch05_20190329091751.jpg,1
../scratch/check_first_frames/ch05_20190329094609.jpg,1
../scratch/check_first_frames/ch05_20190329101424.jpg,1
../scratch/check_first_frames/ch05_20190329113919.jpg,1
../scratch/check_first_frames/ch05_20190329120737.jpg,0
../scratch/check_first_frames/ch05_20190329123551.jpg,1
../scratch/check_first_frames/ch05_20190329130409.jpg,1
../scratch/check_first_frames/ch06_20181102132122.jpg,1
../scratch/check_first_frames/ch06_20181102134937.jpg,0
../scratch/check_first_frames/ch06_20181102141755.jpg,1
../scratch/check_first_frames/ch06_20181102162931.jpg,1
../scratch/check_first_frames/ch06_20181102165747.jpg,0
../scratch/check_first_frames/ch06_20181102172605.jpg,1
../scratch/check_first_frames/ch06_20181104114836.jpg,0
../scratch/check_first_frames/ch06_20181104121653.jpg,1
../scratch/check_first_frames/ch06_20181104124511.jpg,1
../scratch/check_first_frames/ch06_20181104131326.jpg,1
../scratch/check_first_frames/ch06_20181104134144.jpg,1
../scratch/check_first_frames/ch06_20181104160309.jpg,1
../scratch/check_first_frames/ch06_20181104163124.jpg,1
../scratch/check_first_frames/ch06_20181104204552.jpg,1
../scratch/check_first_frames/ch06_20181104211407.jpg,0
../scratch/check_first_frames/ch06_20181206123510.jpg,1
../scratch/check_first_frames/ch06_20181206130328.jpg,0
../scratch/check_first_frames/ch06_20181206144510.jpg,0
../scratch/check_first_frames/ch06_20181206151327.jpg,0
../scratch/check_first_frames/ch06_20181206154142.jpg,1
../scratch/check_first_frames/ch06_20181207102022.jpg,1
../scratch/check_first_frames/ch06_20181207114512.jpg,0
../scratch/check_first_frames/ch06_20181207121327.jpg,0
../scratch/check_first_frames/ch06_20181207124143.jpg,1
../scratch/check_first_frames/ch06_20181207140633.jpg,1
../scratch/check_first_frames/ch06_20181207143448.jpg,1
../scratch/check_first_frames/ch06_20181207150304.jpg,-1
../scratch/check_first_frames/ch06_20181207153120.jpg,1
../scratch/check_first_frames/ch06_20181207155938.jpg,1
../scratch/check_first_frames/ch06_20190103154006.jpg,1
../scratch/check_first_frames/ch06_20190103160823.jpg,1
../scratch/check_first_frames/ch06_20190103163641.jpg,1
../scratch/check_first_frames/ch06_20190104073658.jpg,0
../scratch/check_first_frames/ch06_20190104093009.jpg,1
../scratch/check_first_frames/ch06_20190104095826.jpg,0
../scratch/check_first_frames/ch06_20190104102644.jpg,1
../scratch/check_first_frames/ch06_20190105084618.jpg,1
../scratch/check_first_frames/ch06_20190105110740.jpg,1
../scratch/check_first_frames/ch06_20190105113558.jpg,1
../scratch/check_first_frames/ch06_20190105120413.jpg,1
../scratch/check_first_frames/ch06_20190105142533.jpg,0
../scratch/check_first_frames/ch06_20190105145351.jpg,1
../scratch/check_first_frames/ch06_20190105152208.jpg,0
../scratch/check_first_frames/ch06_20190328123927.jpg,0
../scratch/check_first_frames/ch06_20190328130742.jpg,1
../scratch/check_first_frames/ch06_20190328133600.jpg,1
../scratch/check_first_frames/ch06_20190328150050.jpg,1
../scratch/check_first_frames/ch06_20190328152908.jpg,1
../scratch/check_first_frames/ch06_20190328155725.jpg,1
../scratch/check_first_frames/ch06_20190328162540.jpg,1
../scratch/check_first_frames/ch06_20190329072856.jpg,0
../scratch/check_first_frames/ch06_20190329092204.jpg,1
../scratch/check_first_frames/ch06_20190329095019.jpg,1
../scratch/check_first_frames/ch06_20190329101837.jpg,1
../scratch/check_first_frames/ch06_20190329114329.jpg,0
../scratch/check_first_frames/ch06_20190329121144.jpg,0
../scratch/check_first_frames/ch06_20190329124001.jpg,1
../scratch/check_first_frames/ch06_20190329130817.jpg,1
../scratch/check_first_frames/ch07_20181102163316.jpg,1
../scratch/check_first_frames/ch07_20181102170132.jpg,1
../scratch/check_first_frames/ch07_20181102172946.jpg,0
../scratch/check_first_frames/ch07_20181102180000.jpg,3
../scratch/check_first_frames/ch07_20181102182800.jpg,1
../scratch/check_first_frames/ch07_20181103115700.jpg,1
../scratch/check_first_frames/ch07_20181103120140.jpg,1
../scratch/check_first_frames/ch07_20181103122517.jpg,1
../scratch/check_first_frames/ch07_20181103125335.jpg,1
../scratch/check_first_frames/ch07_20181103141825.jpg,0
../scratch/check_first_frames/ch07_20181103144642.jpg,1
../scratch/check_first_frames/ch07_20181103163947.jpg,0
../scratch/check_first_frames/ch07_20181103170805.jpg,1
../scratch/check_first_frames/ch07_20181206150117.jpg,1
../scratch/check_first_frames/ch07_20181206152932.jpg,0
../scratch/check_first_frames/ch07_20181208112408.jpg,0
../scratch/check_first_frames/ch07_20181208131713.jpg,0
../scratch/check_first_frames/ch07_20181208134530.jpg,0
../scratch/check_first_frames/ch07_20181208141346.jpg,1
